Sample	posterior	ESS(posterior)	likelihood	prior	
366000	-109375.79555695425	2.3	-109629.39817173991	253.60261478566113	
367000	-109376.94778805487	2.3	-109629.74213906875	252.79435101387972	
368000	-109386.13237204422	2.3	-109640.08626144537	253.95388940114364	
369000	-109370.67005380445	2.3	-109623.76402718427	253.09397337981133	
370000	-109374.27180553619	2.4	-109630.72994041986	256.45813488366997	
371000	-109376.8173541396	2.4	-109626.84493750043	250.02758336082667	
372000	-109377.47150773281	2.4	-109630.43687012552	252.9653623927	
373000	-109377.1114455097	2.4	-109628.8879323162	251.77648680650466	
374000	-109365.28219741062	2.4	-109617.84786841893	252.56567100831063	
375000	-109368.47172099311	2.4	-109622.77761362071	254.30589262759776	
376000	-109371.14420967197	2.4	-109624.99356041568	253.84935074371015	
377000	-109369.87559679055	2.4	-109623.41046055271	253.53486376216523	
378000	-109376.41309339591	2.4	-109627.99489110119	251.58179770527988	
379000	-109387.7284862442	2.4	-109639.51958900438	251.79110276018366	
380000	-109386.78665587946	2.4	-109637.51421167303	250.72755579355845	
381000	-109372.86793975023	2.4	-109628.00657931578	255.13863956555196	
382000	-109373.16867686548	2.4	-109624.31256278322	251.14388591774517	
383000	-109367.12704337976	2.4	-109621.05723363694	253.93019025717214	
384000	-109364.85630274273	2.4	-109617.33783106536	252.48152832263773	
385000	-109364.07776083375	2.4	-109617.13729734837	253.05953651461257	
386000	-109367.88341714196	2.4	-109623.16180690927	255.27838976730206	
387000	-109368.72576224302	2.4	-109621.73229206116	253.00652981814903	
388000	-109376.85334361675	2.4	-109633.2395934321	256.38624981535384	
389000	-109368.15318328023	2.4	-109621.04968915263	252.89650587239996	
390000	-109378.27729213159	2.4	-109631.41608739475	253.1387952631699	
391000	-109373.75382650761	2.4	-109626.73741878034	252.98359227271538	
392000	-109371.00882794824	2.4	-109623.57768589565	252.5688579474026	
393000	-109383.62872172876	2.4	-109637.03279657623	253.40407484746692	
394000	-109378.51311833943	2.4	-109630.8415486892	252.3284303497789	
395000	-109370.79752819019	2.4	-109620.09286309779	249.29533490760457	
396000	-109370.13571944855	2.4	-109624.982979518	254.84726006944612	
397000	-109380.60833555477	2.4	-109631.17569138277	250.56735582799274	
398000	-109373.24592567637	2.4	-109626.82843713768	253.5825114613036	
399000	-109380.3051514599	2.4	-109631.7488994469	251.44374798699585	
400000	-109373.22620214258	2.4	-109627.25484716528	254.0286450227064	
401000	-109377.89384268354	2.4	-109631.36196837986	253.4681256963225	
402000	-109377.08408031505	2.4	-109630.18572366309	253.10164334803756	
403000	-109371.2901735412	2.4	-109622.66535261666	251.37517907546064	
404000	-109378.55606986265	2.4	-109630.39937593378	251.84330607113176	
