. Sequence file : [run5.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #41	76   	-32890.29982	Yes        	4        	0.570    	0.000    	 0.18816   0.32560   0.29788   0.18836	-1.07870   0.21633   0.80205   0.06031  
      	     	          	           	          	           	             	                                      	 0.12502  -0.86745   0.14739   0.59504  
      	     	          	           	          	           	             	                                      	 0.50662   0.16111  -0.85337   0.18564  
      	     	          	           	          	           	             	                                      	 0.06024   1.02857   0.29358  -1.38239  

  #42	76   	-29954.68318	Yes        	4        	0.570    	0.000    	 0.19599   0.31973   0.31244   0.17185	-1.10937   0.26801   0.78820   0.05316  
      	     	          	           	          	           	             	                                      	 0.16428  -0.91235   0.19931   0.54875  
      	     	          	           	          	           	             	                                      	 0.49442   0.20396  -0.83729   0.13892  
      	     	          	           	          	           	             	                                      	 0.06062   1.02098   0.25257  -1.33417  

  #43	76   	-31078.19882	Yes        	4        	0.570    	0.000    	 0.19058   0.31978   0.30805   0.18159	-1.21461   0.21726   0.95002   0.04733  
      	     	          	           	          	           	             	                                      	 0.12948  -0.80696   0.17691   0.50058  
      	     	          	           	          	           	             	                                      	 0.58774   0.18364  -0.93977   0.16839  
      	     	          	           	          	           	             	                                      	 0.04968   0.88154   0.28566  -1.21687  

  #44	76   	-32290.68113	Yes        	4        	0.570    	0.000    	 0.18730   0.31548   0.31618   0.18103	-1.21877   0.24353   0.93717   0.03807  
      	     	          	           	          	           	             	                                      	 0.14458  -0.81163   0.17071   0.49634  
      	     	          	           	          	           	             	                                      	 0.55517   0.17033  -0.91932   0.19382  
      	     	          	           	          	           	             	                                      	 0.03939   0.86494   0.33852  -1.24285  

  #45	76   	-30652.27140	Yes        	4        	0.570    	0.000    	 0.18808   0.32886   0.30163   0.18143	-1.33839   0.28028   1.01427   0.04385  
      	     	          	           	          	           	             	                                      	 0.16030  -0.75922   0.16414   0.43479  
      	     	          	           	          	           	             	                                      	 0.63244   0.17895  -0.98151   0.17011  
      	     	          	           	          	           	             	                                      	 0.04545   0.78810   0.28282  -1.11638  

  #46	76   	-31593.79534	Yes        	4        	0.570    	0.000    	 0.19899   0.31777   0.30760   0.17565	-1.34829   0.26656   0.99002   0.09171  
      	     	          	           	          	           	             	                                      	 0.16692  -0.73965   0.14595   0.42678  
      	     	          	           	          	           	             	                                      	 0.64044   0.15077  -0.95284   0.16162  
      	     	          	           	          	           	             	                                      	 0.10390   0.77209   0.28304  -1.15902  

  #47	76   	-32533.96352	Yes        	4        	0.570    	0.000    	 0.19268   0.31073   0.33380   0.16278	-1.28746   0.24445   0.97054   0.07247  
      	     	          	           	          	           	             	                                      	 0.15158  -0.76751   0.16314   0.45278  
      	     	          	           	          	           	             	                                      	 0.56022   0.15187  -0.89346   0.18137  
      	     	          	           	          	           	             	                                      	 0.08578   0.86431   0.37192  -1.32201  

  #48	76   	-32101.62920	Yes        	4        	0.570    	0.000    	 0.19735   0.31475   0.31097   0.17693	-1.33471   0.27599   1.00507   0.05366  
      	     	          	           	          	           	             	                                      	 0.17304  -0.76863   0.18529   0.41030  
      	     	          	           	          	           	             	                                      	 0.63782   0.18755  -0.98337   0.15800  
      	     	          	           	          	           	             	                                      	 0.05985   0.72993   0.27771  -1.06749  

  #49	76   	-33399.42763	Yes        	4        	0.570    	0.000    	 0.19254   0.31394   0.32132   0.17219	-1.28967   0.25333   0.99494   0.04140  
      	     	          	           	          	           	             	                                      	 0.15537  -0.78907   0.16307   0.47063  
